,,,,,,,,
,mod 名,カテゴリ1,カテゴリ2,確定,備考,url,列 1,列 2
,Do a Barrel Roll,拡張,,〇,エリトラがアクロバティックに,https://www.curseforge.com/minecraft/mc-mods/do-a-barrel-roll,,138
,GeckoLib,前提,,〇,何かの前提,https://www.curseforge.com/minecraft/mc-mods/geckolib,,145
,ChoiceTheorem's Overhauled Village,村,,〇,,https://www.curseforge.com/minecraft/mc-mods/choicetheorems-overhauled-village,,175
,Framework,前提,,〇,,https://www.curseforge.com/minecraft/mc-mods/framework,,168
,Lithostitched,前提,,〇,,https://www.curseforge.com/minecraft/mc-mods/lithostitched,,176
,Observable,便利系,,〇,ラグい部分を可視化できる,https://www.curseforge.com/minecraft/mc-mods/observable,,194
,Hookshot,便利系,,〇,,https://modrinth.com/mod/hookshot-from-zelda,,228
,Paraglider,便利系,,〇,,https://www.curseforge.com/minecraft/mc-mods/paragliders,,229
,Carry On,便利系,,〇,,https://www.curseforge.com/minecraft/mc-mods/carry-on,,230
,Carry On VSCompat,便利系,addon,〇,,https://modrinth.com/mod/carryon-vs-compat,,231
,Polymorph,便利系,,〇,レシピ重複回避,https://www.curseforge.com/minecraft/mc-mods/polymorph,,135
,Polymorph Energistics,便利系,,〇,レシピ重複回避,https://www.curseforge.com/minecraft/mc-mods/polymorphic-energistics,,136
,JourneyMap,便利系,,〇,地図,https://www.curseforge.com/minecraft/mc-mods/journeymap,,137
,AppleSkin,便利系,client,〇,隠し満腹度可視化,https://www.curseforge.com/minecraft/mc-mods/appleskin,,86
,Inventory Profiles Next,便利系,client,〇,インベントリ整理,https://www.curseforge.com/minecraft/mc-mods/inventory-profiles-next,,88
